dst_ip,Frequency
1.165.90.11,6
1.166.1.0,6
1.166.11.0,6
1.166.120.14,6
1.166.16.0,6
1.166.18.0,6
1.166.181.14,6
1.166.188.1,6
1.166.191.0,6
1.166.191.1,6
1.166.192.1,6
1.166.194.1,6
1.166.24.0,6
1.166.26.0,6
1.166.26.1,6
1.166.28.0,6
1.166.50.71,17
1.166.8.0,6
1.166.83.11,6
1.166.88.11,6
1.166.9.0,6
1.166.91.11,6
1.166.93.11,6
1.166.94.11,6
1.167.12.0,6
1.167.174.12,6
1.167.188.1,6
1.167.191.1,6
1.167.192.1,6
1.167.197.1,6
1.167.2.0,6
1.167.22.0,6
1.167.25.0,6
1.167.27.0,6
1.167.5.0,6
1.167.7.0,6
