Source,Target,Type
0.0.0.40,1.29.0.0,Directed
0.0.0.40,1.29.0.0,Directed
0.0.0.41,1.33.0.0,Directed
0.0.0.41,1.33.0.0,Directed
0.0.0.42,1.19.0.0,Directed
0.0.0.42,1.19.0.0,Directed
0.0.0.43,1.7.0.0,Directed
0.0.0.43,1.7.0.0,Directed
0.0.0.44,1.23.0.0,Directed
0.0.0.44,1.23.0.0,Directed
0.0.0.45,1.9.0.0,Directed
0.0.0.45,1.9.0.0,Directed
0.0.0.46,1.41.0.0,Directed
0.0.0.46,1.41.0.0,Directed
0.0.0.47,1.1.0.0,Directed
0.0.0.47,1.1.0.0,Directed
0.0.0.48,1.21.0.0,Directed
0.0.0.48,1.21.0.0,Directed
0.0.0.49,1.11.0.0,Directed
0.0.0.49,1.11.0.0,Directed
0.0.0.5,1.1.0.0,Directed
0.0.0.5,1.1.0.0,Directed
0.0.0.50,1.23.0.0,Directed
0.0.0.50,1.23.0.0,Directed
0.0.0.51,1.43.0.0,Directed
0.0.0.51,1.43.0.0,Directed
0.0.0.52,1.25.0.0,Directed
0.0.0.52,1.25.0.0,Directed
0.0.0.53,1.45.0.0,Directed
0.0.0.53,1.45.0.0,Directed
0.0.0.54,1.21.0.0,Directed
0.0.0.54,1.21.0.0,Directed
0.0.0.55,1.5.0.0,Directed
0.0.0.55,1.5.0.0,Directed
0.0.0.56,1.15.0.0,Directed
0.0.0.56,1.15.0.0,Directed
0.0.0.57,1.47.0.0,Directed
0.0.0.57,1.47.0.0,Directed
0.0.0.58,1.37.0.0,Directed
0.0.0.58,1.37.0.0,Directed
0.0.0.59,1.29.0.0,Directed
0.0.0.59,1.203.0.0,Directed
0.0.0.59,1.29.0.0,Directed
0.0.0.59,1.203.0.0,Directed
0.0.0.6,1.11.0.0,Directed
0.0.0.6,1.11.0.0,Directed
0.0.0.60,1.45.0.0,Directed
0.0.0.60,1.223.0.0,Directed
0.0.0.60,1.45.0.0,Directed
0.0.0.60,1.223.0.0,Directed
0.0.0.61,1.7.0.0,Directed
0.0.0.61,1.7.0.0,Directed
0.0.0.62,1.39.0.0,Directed
0.0.0.62,1.39.0.0,Directed
0.0.0.63,1.49.0.0,Directed
0.0.0.63,1.49.0.0,Directed
0.0.0.64,1.39.0.0,Directed
0.0.0.64,1.39.0.0,Directed
0.0.0.65,1.19.0.0,Directed
0.0.0.65,1.19.0.0,Directed
